Recording timestamp	Sensor	Event	Event value	Gaze point X	Gaze point Y	Validity left	Validity right
64433	Eye Tracker			896	393	Valid	Valid
64436	Eye Tracker			897	394	Valid	Valid
64439	Eye Tracker			895	396	Valid	Valid
64443	Eye Tracker			892	393	Valid	Valid
64446	Eye Tracker			893	395	Valid	Valid
64449	Mouse						
64449	Eye Tracker			895	392	Valid	Valid
64453	Eye Tracker			894	391	Valid	Valid
64456	Eye Tracker			896	396	Valid	Valid
64459	Eye Tracker			892	392	Valid	Valid
64463	Eye Tracker			895	394	Valid	Valid
64466	Eye Tracker			895	393	Valid	Valid
64469	Eye Tracker			895	396	Valid	Valid
64473	Mouse						
64473	Eye Tracker			894	393	Valid	Valid
64476	Eye Tracker			895	396	Valid	Valid
64479	Eye Tracker			892	392	Valid	Valid
64483	Eye Tracker			895	395	Valid	Valid
64486	Eye Tracker			895	393	Valid	Valid
64489	Mouse						
64489	Eye Tracker			899	393	Valid	Valid
64493	Eye Tracker			894	390	Valid	Valid
64496	Eye Tracker			895	394	Valid	Valid
64499	Eye Tracker			896	393	Valid	Valid
64503	Eye Tracker			895	392	Valid	Valid
64504	Mouse						
64506	Eye Tracker			893	394	Valid	Valid
64509	Eye Tracker			894	394	Valid	Valid
64513	Eye Tracker			895	391	Valid	Valid
64516	Eye Tracker			899	395	Valid	Valid
64519	Eye Tracker			916	402	Valid	Valid
64520	Mouse						
64523	Eye Tracker			935	410	Valid	Valid
64526	Eye Tracker			965	416	Valid	Valid
64529	Eye Tracker			982	417	Valid	Valid
64533	Eye Tracker			987	419	Valid	Valid
64536	Eye Tracker			990	419	Valid	Valid
64539	Eye Tracker			993	415	Valid	Valid
64543	Eye Tracker			992	416	Valid	Valid
64546	Eye Tracker			990	418	Valid	Valid
64549	Eye Tracker			983	417	Valid	Valid
64553	Eye Tracker			975	415	Valid	Valid
64556	Eye Tracker			978	417	Valid	Valid
64559	Eye Tracker			980	416	Valid	Valid
64563	Eye Tracker			983	415	Valid	Valid
64566	Eye Tracker			980	416	Valid	Valid
64569	Eye Tracker			981	416	Valid	Valid
64573	Eye Tracker			982	414	Valid	Valid
64576	Eye Tracker			979	417	Valid	Valid
64579	Eye Tracker			983	417	Valid	Valid
64583	Eye Tracker			983	421	Valid	Valid
64586	Eye Tracker			985	417	Valid	Valid
64589	Eye Tracker			982	420	Valid	Valid
64593	Eye Tracker			984	421	Valid	Valid
64596	Eye Tracker			983	419	Valid	Valid
64599	Eye Tracker			982	421	Valid	Valid
64603	Eye Tracker			983	423	Valid	Valid
64606	Eye Tracker			984	421	Valid	Valid
